SAN JOSE,SAN JOSE CENTRAL,416,34657,575,303,1260,15513,27669,1608,1316,769,6227,37931,26598,1106,204,288054,44.6,6456,100,89.9,45.7,81903,3.5,63.4,6.8,98.8,99.4,98.9,9.9,10.3,9.2,31.1,16.8,88.5,46.2,9.5,43.3,56.7,71.2,44.2,13.7,16.3,12.3,14.2,39.6,6.9
SAN JOSE,ESCAZU,94,7246,60,69,227,2674,7261,407,262,156,1166,4667,8963,194,26,56509,34.5,1638,99.3,89.3,41.9,16565,3.4,74.3,3.8,99,99.4,98.8,10.9,11.4,10.1,29.8,28.7,90.9,49.9,7.6,39.3,60.7,74,49.2,13.8,19.9,10.4,14.2,32.5,8.7
SAN JOSE,DESAMPARADOS,397,24445,388,219,816,10014,19343,1182,887,593,5428,29462,15197,797,145,208411,118.3,1762,93.6,92.2,43.9,57355,3.62,66,4.8,98.6,99.4,98.4,8.9,9.6,7.7,33.7,14.3,89.3,45.4,9.7,43,57,74.3,41.6,14.3,8.9,10.5,14.5,34.2,6.9
SAN JOSE,PURISCAL,54,4651,43,25,109,1945,4982,147,129,98,1722,2561,3103,189,56,33004,553.7,60,23.4,100.8,45.6,9787,3.36,64.5,2.2,96.7,99.5,95.3,7.9,9.2,6,33.9,11.2,90.2,52.4,8.4,49.3,50.7,69.7,32,12.5,2.2,12.1,10.4,28.2,6.9
SAN JOSE,TARRAZU,27,2055,30,10,80,417,1384,55,53,56,614,949,1416,91,19,16280,297.5,55,50.3,98.8,51.4,4551,3.58,66.2,2.5,96.5,98.7,95.2,6.7,7.5,5.3,32.4,7.5,83.9,37.2,6.4,48.8,52.3,78.8,24,27.8,5.8,9.1,14,23,13.2
SAN JOSE,ASERRI,107,6424,84,59,201,2700,6024,296,204,167,1902,6351,3997,234,49,57892,167.1,346,71.1,95.8,45.2,16120,3.59,62.5,4.4,98,99.1,97.4,7.9,8.7,6.4,32,12.1,86.7,39.5,7.2,45.5,54.5,74.7,35.6,14,4.9,10.8,13.8,30,5.8
SAN JOSE,MORA,74,6102,84,34,185,2179,4858,253,196,150,1447,5046,4616,235,60,26294,162,162,45.9,93.6,43.1,7782,3.38,68.8,3,98,99.4,97.4,9,9.9,7.3,32.4,19.9,91.1,48.8,8.1,44.8,55.2,73.9,38.2,11.6,7.4,10.2,11.1,28.7,10.1
SAN JOSE,GOICOECHEA,167,15556,270,113,516,5432,9590,650,576,387,2564,15886,9907,396,77,115084,31.5,3653,98.5,89.2,43,32520,3.53,68,4.3,99,99.4,98.9,9.8,10.5,8.7,32.8,18.2,89.7,48.9,10.5,43.2,56.8,72.1,43.6,12,9.5,11.7,12.1,37.1,7.3
SAN JOSE,SANTA ANA,42,5701,60,65,100,2043,5528,269,213,98,947,3554,6507,165,31,49123,61.4,800,93.2,91.7,41.2,14235,3.43,76.9,3.8,98.7,99.3,98.4,10.6,11.2,9.2,30.4,27.6,90.3,46.5,7.3,38.2,61.8,75.9,49.1,13.8,18.9,9.9,13.5,29.8,10.2
SAN JOSE,ALAJUELITA,145,5813,132,89,217,3543,4020,433,517,239,1930,11106,3627,347,52,77603,21.2,3666,99,92.8,48,19832,3.91,57.6,8.4,98.6,99.4,98.1,8,8.7,6.6,32.8,11.1,86.3,36.9,7.6,44,56,74.9,39.3,16.5,12.9,11.2,16.5,36.3,5.8
SAN JOSE,VAZQUEZ DE CORONADO,124,10608,181,80,306,3209,6063,417,317,218,2033,9270,5606,230,38,60486,222.2,272,96.4,93,38.9,17155,3.52,73.1,2.5,99.1,99.5,98.8,9.9,10.8,8.4,35.1,18.8,92,54,11.1,41.6,58.4,73.9,44.4,11,4.5,10.2,11,31.3,8.1
SAN JOSE,ACOSTA,34,2934,33,15,82,1207,2478,68,54,72,639,1547,1697,102,19,20209,342.2,59,12.5,102.3,48.7,5871,3.44,60.9,2.7,95.6,99.2,93.7,6.7,7.7,5,34,11,89.9,46.3,7.2,50.4,49.6,73,25.9,12.2,1.2,10.2,9.2,26.5,4.9
SAN JOSE,TIBAS,94,9852,172,68,272,3556,6862,393,343,163,1336,8609,7020,228,41,64842,8.1,7956,100,87.5,43.4,19160,3.38,70.6,3.6,99,99.5,98.7,10.3,11.1,9.3,31.3,18.9,91,52.7,10.2,44,56,70.4,43.8,10.7,10.7,11.5,11.6,40.1,7.6
SAN JOSE,MORAVIA,79,9120,119,53,280,2708,5379,299,311,154,1000,6242,6503,166,26,56919,28.6,1989,99.4,88.6,41.1,16874,3.36,78.7,2.6,99.2,99.5,99.1,11.1,11.7,10.1,33.4,23.4,92.3,57.8,10.8,41.3,58.7,73.3,46,10.7,8.6,10.7,10.7,33.9,8.3
SAN JOSE,MONTES DE OCA,52,10534,94,68,351,2178,5106,260,281,129,742,3609,6402,142,31,49132,15.2,3241,100,87.4,35.3,16589,2.94,79.9,2,99.5,99.7,99.4,12.2,12.9,11.2,35.4,28.8,92.8,69.3,14.2,41.2,58.8,69.2,49.9,9.3,13.1,11.1,10.2,40.4,9.9
SAN JOSE,TURRUBARES,7,378,2,7,6,207,1148,22,5,8,133,367,612,15,7,5512,415.3,13,13.4,107.2,49.7,1679,3.27,44.9,3.5,95,99.4,92.7,6.4,7.3,5.2,30.4,9.4,87,39.9,4.7,51.8,48.2,72.9,21.4,23.6,4.5,11.5,18.1,24.2,10.9
SAN JOSE,DOTA,17,1243,8,10,41,299,764,18,31,24,217,400,565,41,8,6948,400.2,17,30.6,95.8,50.5,1952,3.54,74.3,2.7,97.3,99.1,96.2,7.3,8,6.1,33.5,7.5,86.3,44.1,6.5,48.8,51.2,76.6,27.1,18.5,7.1,8.2,15.1,23.6,6.2
SAN JOSE,CURRIDABAT,100,9016,128,62,294,2598,6728,351,277,122,1074,6153,7929,174,26,65206,15.9,4088,100,88.4,40.1,19146,3.4,74.4,4.3,99,99.4,98.8,10.9,11.3,10.4,32.3,23.3,90.3,53.2,9.6,41.1,58.9,72.6,47.1,12.1,15.2,9.5,13.3,35.2,8.5
SAN JOSE,PEREZ ZELEDON,320,11544,209,153,562,5914,11294,583,431,448,3771,20444,15849,825,235,134534,1905.5,71,48.5,94.6,51.4,38508,3.48,63.1,3.4,97.2,99.3,96.1,7.3,8.1,5.8,34.7,8.7,86.8,45.1,7,52,48,70.8,27.2,14,2.5,10.9,12.9,29.3,7.8
SAN JOSE,LEON CORTES CASTRO,20,1479,16,12,51,429,1344,62,39,59,473,725,1116,62,27,12200,120.8,101,40.5,101.3,46.9,3377,3.61,57.6,2.6,96.6,98.8,95.3,6.4,7.1,5.1,31.1,5.6,83.2,37,4.6,52.8,47.2,75.9,18.4,16,4.1,9.6,13,21.7,5.7
ALAJUELA,ALAJUELA CENTRAL,450,29867,419,259,781,11754,23619,1338,1067,640,6870,36470,20080,1113,194,254886,388.4,656,88,97.4,44.3,72031,3.49,68.9,4.3,98.2,99.3,97.7,8.7,9.4,7.4,31.6,13.6,88.5,43.2,8.3,44.2,55.8,73.8,38.6,12.4,10.1,9.6,13.4,28.2,7.6
ALAJUELA,SAN RAMON,139,14033,131,107,440,4534,6922,445,464,228,2589,9310,4462,442,123,80566,1018.6,79,52.9,96.4,47.5,23301,3.44,66.7,3.4,97.5,99.1,96.7,8.2,9,6.9,34.6,15.2,89,51.1,8.6,49,51,71.1,32.1,18.3,6.9,10.4,15.4,28.4,8.3
ALAJUELA,GRECIA,125,9328,141,85,341,3325,7314,255,283,202,2984,10834,6690,355,75,76898,395.7,194,61.5,98.4,46.2,21709,3.53,67.6,3.2,97.5,99.1,96.7,8,8.8,6.6,31.5,14.2,88.4,42.3,6.2,46.2,53.8,74.8,33.4,15,9.1,10.1,14.4,24,7
ALAJUELA,SAN MATEO,8,470,4,5,19,255,860,39,10,9,250,471,556,30,7,6136,125.9,49,26.3,104,51.4,1834,3.34,55.2,3.2,97.7,99.6,96.9,7.5,8.3,6.5,27.9,12.3,84,39.1,5,55.3,44.7,67,21.7,20.7,5.3,11.6,15.9,21.5,8.7
ALAJUELA,ATENAS,46,4028,46,26,95,1196,2466,117,87,66,684,2772,2936,122,19,25460,127.2,200,56.2,100.1,44.9,7472,3.41,74.4,2.3,98,99.3,97.4,8.5,9.4,7.3,30.6,12.7,90.5,50.4,6.7,49.3,50.7,70.3,31.6,12.7,8.2,9.4,10.8,22.9,8.5
ALAJUELA,NARANJO,52,5525,72,50,103,1831,3913,139,162,118,1513,4572,3880,228,48,42713,126.6,337,53.9,95.8,47.8,11678,3.65,65.8,3.5,97.4,99,96.5,7.6,8.5,6.1,32.7,13.5,90.2,46,6.2,49.3,50.7,72.9,30,17.8,6.8,9.6,16.4,26.4,7.2
