14,19,134534,1905.5,71,48.5,94.6,51.4,38508,3.48,63.1,3.4,97.2,99.3,96.1,7.3,8.1,5.8,34.7,8.7,86.8,45.1,7,52,48,70.8,27.2,14,2.5,10.9,12.9,29.3,7.8,1,60,1
13,3,208411,118.3,1762,93.6,92.2,43.9,57355,3.62,66,4.8,98.6,99.4,98.4,8.9,9.6,7.7,33.7,14.3,89.3,45.4,9.7,43,57,74.3,41.6,14.3,8.9,10.5,14.5,34.2,6.9,1,78,1
7,1,288054,44.6,6456,100,89.9,45.7,81903,3.5,63.4,6.8,98.8,99.4,98.9,9.9,10.3,9.2,31.1,16.8,88.5,46.2,9.5,43.3,56.7,71.2,44.2,13.7,16.3,12.3,14.2,39.6,6.9,0,38,1
6,54,62987,1436.5,44,82,95.9,49.9,16577,3.75,64.5,8.8,97.7,99,97,8.8,9.4,7.5,35,11,87.4,45.3,8.5,47.9,52.1,67.5,37.7,16.8,10.2,7.9,18.9,33.1,7.5,0,28,5
13,9,49123,61.4,800,93.2,91.7,41.2,14235,3.43,76.9,3.8,98.7,99.3,98.4,10.6,11.2,9.2,30.4,27.6,90.3,46.5,7.3,38.2,61.8,75.9,49.1,13.8,18.9,9.9,13.5,29.8,10.2,1,76,1
6,14,56919,28.6,1989,99.4,88.6,41.1,16874,3.36,78.7,2.6,99.2,99.5,99.1,11.1,11.7,10.1,33.4,23.4,92.3,57.8,10.8,41.3,58.7,73.3,46,10.7,8.6,10.7,10.7,33.9,8.3,1,58,1
14,81,41266,576.5,72,48.7,99.9,53.8,11797,3.47,51.4,5.7,96.5,99.1,94.9,6.3,7,5,32.5,10.3,83.2,32.2,5.6,49.6,50.4,73.7,27.2,14.1,8.5,11.6,12.4,27.6,5.4,0,30,7
11,66,28644,216.8,132,74.6,96.6,50,8435,3.39,59.4,4.6,97.6,99.1,96.9,8.3,9.2,6.9,33.5,10.7,88.8,46.1,8,50.5,49.5,70,30.1,15.1,4.3,12,14,26.6,8.1,0,80,6
11,21,254886,388.4,656,88,97.4,44.3,72031,3.49,68.9,4.3,98.2,99.3,97.7,8.7,9.4,7.4,31.6,13.6,88.5,43.2,8.3,44.2,55.8,73.8,38.6,12.4,10.1,9.6,13.4,28.2,7.6,0,62,2
7,19,134534,1905.5,71,48.5,94.6,51.4,38508,3.48,63.1,3.4,97.2,99.3,96.1,7.3,8.1,5.8,34.7,8.7,86.8,45.1,7,52,48,70.8,27.2,14,2.5,10.9,12.9,29.3,7.8,0,40,1
12,38,99399,44.8,2217,97,93.2,43.7,26979,3.67,69.7,4.7,98.6,99.4,98.3,9.5,10.2,8,34.2,18.5,89.8,47.6,9.8,40.7,59.3,75.4,44.7,12.9,9.7,9.4,14.1,31.5,8.4,0,18,3
12,13,64842,8.1,7956,100,87.5,43.4,19160,3.38,70.6,3.6,99,99.5,98.7,10.3,11.1,9.3,31.3,18.9,91,52.7,10.2,44,56,70.4,43.8,10.7,10.7,11.5,11.6,40.1,7.6,1,54,1
7,50,21633,12.1,1780,100,94.2,38.7,6011,3.59,82.5,2.9,99,99.7,98.8,10.3,11.2,8.7,29.4,29.1,89.5,50.5,7.8,41.5,58.5,74.1,44.1,9.8,12,8.8,10.3,28.6,10.6,0,64,4
12,3,208411,118.3,1762,93.6,92.2,43.9,57355,3.62,66,4.8,98.6,99.4,98.4,8.9,9.6,7.7,33.7,14.3,89.3,45.4,9.7,43,57,74.3,41.6,14.3,8.9,10.5,14.5,34.2,6.9,1,78,1
2,21,254886,388.4,656,88,97.4,44.3,72031,3.49,68.9,4.3,98.2,99.3,97.7,8.7,9.4,7.4,31.6,13.6,88.5,43.2,8.3,44.2,55.8,73.8,38.6,12.4,10.1,9.6,13.4,28.2,7.6,1,56,2
7,9,49123,61.4,800,93.2,91.7,41.2,14235,3.43,76.9,3.8,98.7,99.3,98.4,10.6,11.2,9.2,30.4,27.6,90.3,46.5,7.3,38.2,61.8,75.9,49.1,13.8,18.9,9.9,13.5,29.8,10.2,0,64,1
12,42,45473,201.3,226,87.5,95.7,45.5,11232,4.04,76.7,4,97.7,99.1,97,8.1,8.8,6.7,33.9,18.9,88.3,46.8,7.8,46.1,53.9,75.8,33.5,17.2,1.4,8.3,15.7,26,7.2,1,70,3
11,49,20633,27,765,94.6,98,41.2,5807,3.54,76.6,2.4,98.7,99.8,98.2,9.7,10.5,8.2,33.3,22.6,92.1,52.6,9.5,41.3,58.7,75.1,43.1,11.2,7.7,8.6,11.2,28.5,11.9,1,26,4
13,53,57147,2140.5,27,18.1,103.4,55.6,15768,3.6,44.7,9.1,94.4,98.2,91.9,5.9,6.4,4.6,33.7,6.4,84.3,31.3,5.2,49.5,50.5,73.8,26.5,18.1,17.8,10.5,19.3,24,5.9,1,62,4
